Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags
2024-12-31,MONTHLY SERVICE FEE,Financial Fees,Eager LLC Checking (...6563),MONTHLY SERVICE FEE,,-15,
2024-12-23,Fullscreen Googletas Chrome,Entertainment & Recreation,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS CHROME.GOOGLE DC 12/22,,-1.29,
2024-12-16,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 12/15,,-21.28,
2024-12-09,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 12/08,,-21.28,
2024-12-04,Contra.com,Upwork,Eager LLC Checking (...6563),CONTRA.COM* DMYTRO HY CONTRA.COM CA 12/04,,-853.2,
2024-12-02,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 12/01,,-92.1,
2024-11-29,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -756974864 866-262-4478 CA 11/28,,-273.12,
2024-11-25,Github,Miscellaneous,Eager LLC Checking (...6563),"GITHUB, INC. HTTPSGITHUB.C CA 11/23",,-105,
2024-11-22,Fullscreen Googletas Chrome,Entertainment & Recreation,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS CHROME.GOOGLE DC 11/22,,-1.29,
2024-11-19,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -754186249 866-262-4478 CA 11/18,,-122.79,
2024-11-18,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 11/15,,-21.28,
2024-11-12,GoDaddy,Miscellaneous,Eager LLC Checking (...6563),DNH*GODADDY#34056195 https://www.g AZ 11/11,,-23.17,
2024-11-12,GoDaddy,Miscellaneous,Eager LLC Checking (...6563),DNH*GODADDY#34044763 https://www.g AZ 11/11,,-8.74,
2024-11-08,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 11/08,,-21.28,
2024-11-05,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -749845000 866-262-4478 CA 11/04,,-98.23,
2024-11-01,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 11/01,,-85.9,
2024-10-30,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -748105281 866-262-4478 CA 10/30,,-210.5,
2024-10-29,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -747681575 866-262-4478 CA 10/28,,-36.84,
2024-10-22,FULLSCREEN GOOGLETAS HTTPSCHROME,Transfer,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 10/22,,-1.29,
2024-10-16,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 10/15,,-21.28,
2024-10-15,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -743349845 866-262-4478 CA 10/14,,-122.79,
2024-10-08,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -741209706 866-262-4478 CA 10/07,,-282.42,
2024-10-08,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 10/08,,-21.28,
2024-10-01,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 10/01,,-54.33,
2024-09-24,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -736780655 866-262-4478 CA 09/23,,-61.4,
2024-09-23,Fullscreen Googletas Httpschrome,Transfer,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 09/22,,-1.29,
2024-09-17,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -734608963 866-262-4478 CA 09/16,,-61.4,
2024-09-16,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 09/15,,-21.28,
2024-09-16,Techsmith,Miscellaneous,Eager LLC Checking (...6563),FS *TechSmith 877-3278914 CA 09/15,,-12.6,
2024-09-10,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -732447759 866-262-4478 CA 09/09,,-442.05,
2024-09-09,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 09/08,,-21.28,
2024-09-03,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 09/01,,-71.64,
2024-08-27,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -728110106 866-262-4478 CA 08/26,,-98.23,
2024-08-22,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK * -726574321 866-262-4478 CA 08/22,,-210.5,
2024-08-22,Fullscreen Googletas Httpschrome,Transfer,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 08/22,,-1.29,
2024-08-22,GoDaddy,Miscellaneous,Eager LLC Checking (...6563),DNH*GODADDY#32551381 https://www.g AZ 08/21,,-23.17,
2024-08-13,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK -723886723 866-262-4478 CA 08/12,,-49.12,
2024-08-09,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 08/09,,-21.28,
2024-08-08,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 08/08,,-21.28,
2024-08-06,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK -721748963 866-262-4478 CA 08/05,,-245.58,
2024-08-06,GoDaddy,Miscellaneous,Eager LLC Checking (...6563),DNH*GODADDY#32269433 https://www.g AZ 08/05,,-22.17,
2024-08-01,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 08/01,,-56.04,
2024-07-31,MONTHLY SERVICE FEE,Financial Fees,Eager LLC Checking (...6563),MONTHLY SERVICE FEE,,-15,
2024-07-22,Fullscreen Googletas Httpschrome,Transfer,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 07/22,,-1.29,
2024-07-16,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK -715289490 866-262-4478 CA 07/15,,-36.84,
2024-07-09,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 07/09,,-21.28,
2024-07-08,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 07/08,,-21.28,
2024-07-01,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 07/01,,-53.73,
2024-06-28,MONTHLY SERVICE FEE,Financial Fees,Eager LLC Checking (...6563),MONTHLY SERVICE FEE,,-15,
2024-06-25,Upwork,Upwork,Eager LLC Checking (...6563),UPWORK -708538904 866-262-4478 CA 06/24,,-210.5,
2024-06-24,Fullscreen Googletas Httpschrome,Transfer,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 06/22,,-1.29,
2024-06-10,Openai Httpsopenai,Business Tech,Eager LLC Checking (...6563),OPENAI HTTPSOPENAI.C CA 06/09,,-10.64,
