Date,Description,Amount,Receipt,Account Name,Description,Comments
7/13/2024,Toyota car donation,"$1,700.00",yes,n/a,donated Michael's Camry to Veteran Car Donations,link in google drive
8/4/2024,goodwill pressure washer donation and other items,$700.00,yes,n/a,pressure washer donation and other items,in google drive
12/30/2024,goodwill - furniture,$200.00,yes,n/a,bedroom and living room furniture,in google drive
2/10/2024,goodwill - 3D printer,$210.00,yes,n/a,"3D printer, etc",in google drive
12/29/2024,light the world donation,$113.30,no,n/a,light the world,-
11/8/2024,project grad,$102.00,no,n/a,project grad donation,-
12/23/2024,hill country bible church,$50.00,no,n/a,HCBC christmas eve,-
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,TOTAL,"$3,075.30",,,,monarch filter: 2024 and category charity. link
